"","city","state","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34","col35","col36","col37","col38","col39","col40","col41","col42","col43","col44","col45","col46","col47","col48","col49","col50","col51","col52","col53","col54","col55","col56","col57","col58","col59","col60","col61","col62","col63","col64","col65","col66","col67","col68","col69","col70","col71","col72","col73","col74","col75","col76","col77","col78","col79","col80","col81","col82","col83","col84","col85","col86","col87","col88","col89","col90","col91","col92","col93","col94","col95","col96","col97","col98","col99","col100","col101","col102","col103","col104","col105","col106","col107","col108","col109","col110","col111","col112","col113","col114","col115","col116","col117","col118","col119","col120","col121","col122","col123","col124","col125","col126","col127","col128","col129","col130","col131","col132","col133","col134","col135","col136","col137","col138","col139","col140","col141","col142","col143","col144","col145"
"56","Philadelphiacity","PA",101,60000,1,1585577,2.63,39.86,53.52,2.74,5.63,13.92,28.02,14.12,13.74,1585577,100,24603,70.12,0.35,32.15,31.63,13.98,18.2,30140,12091,15027,9061,10146,8285,5083,6053,313374,20.27,11.29,35.69,15.22,9.62,52.77,13.58,29.55,14.13,24.81,10.62,42.11,14.12,12.53,3.26,53.45,47.22,62.33,56.66,54.09,62.23,138864,11.53,104814,16.38,24.3,33.12,42.58,1.08,1.61,2.19,2.81,86.31,2.63,8.48,5.42,2.56,2.75,2.25,66.55,4.69,42.28,3,71824,89.36,61.95,21.96,59.26,1939,4.25,0.88,27900,49400,77100,49200,252,358,483,231,452,29.8,19.3,14.8,3416,1069,6.61,73.58,64.33,88.86,92.65,11326,29.31,4.19,187978.5,439,28.7,785,51.31,11531,753.74,6821,445.86,15117,988.14,39181,2561.1,23785,1554.73,2282,149.17,1279.6,5253.14,6523,426.38,6519,426.12,5480855,358261.41,840.2,426.4,79.54,73.48,23.18,2.84,0,25.95,273,14,39.9,140,822,287578496,99.94,0
"59","Lynchburgcity","VA",680,47672,1,66049,2.63,26.41,72.45,0.76,0.72,17.79,29.84,18.19,14.33,66049,100,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,14721,7200,12833,6139,8400,7231,9889,16.45,13.61,30.52,21.74,5.97,56.27,19.31,31.2,14.92,27.39,9.43,34.52,12.67,11.25,2.98,64,59.7,69.62,69.8,63.78,72.3,2858,5.88,1108,30.69,43.05,47.02,50.54,0.51,0.72,0.79,0.85,96.8,0.35,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,1.68,70.07,52.6,73.84,86.06,1290.5,3.33,5.8,83166.8,3,4.47,45,67,107,159.32,351,522.63,560,833.83,2316,3448.48,184,273.97,50,74.45,753.42,4630.73,138,205.48,123,183.14,61164,91072.1,443.2,205.5,81.87,90.58,9.42,0,0,9.42,8,8,38.7,51.2,62,5585480,89.13,0
"62","Mesquitecity","TX",NA,NA,1,101484,2.83,5.83,87.21,2.63,8.77,14.14,28.92,12.52,4.73,101484,100,35934,89.64,0.85,34.13,13.22,4.08,9.17,40198,14115,14509,11766,13014,12912,9852,10522,7771,7.73,5.36,18.76,18.31,4.74,74.16,14.53,18.82,11.26,25.69,10.29,23.44,15.87,13.21,3.23,77.5,74.52,84.99,75.71,70.98,76.4,1198,1.78,4731,10.48,21.81,32.28,44.56,0.49,1.02,1.5,2.08,89.97,1.19,4.66,3.62,2.81,2.99,2.5,67.55,4.75,36.41,3,3395,91.35,63.45,5.24,40.27,1977,3.79,0.16,52900,68700,87200,34300,334,397,483,149,469,24.3,21.3,12.7,0,4,4.66,67.97,43.88,83.76,92.25,2286.9,1.22,5.62,72500.1,5,4.32,33,28.5,137,118.34,481,415.48,NA,NA,5181,4475.25,761,657.34,93,80.33,566.64,NA,160,138.21,138,119.2,73461,63454.3,459.1,138.2,92.83,92.5,2.5,3.12,0,5.62,9,8,8.1,44.4,127,8393341,86.25,0
"69","Knoxvillecity","TN",NA,NA,1,165121,2.36,15.78,82.73,1.04,0.67,16.31,32.25,18.75,13.77,165121,100,19923,72.35,0.54,34.7,30.68,9.69,15.24,26131,12108,13169,6838,8519,8899,5971,11800,32189,20.8,12.59,29.21,21.73,7.11,55.4,12.82,29.18,14.23,27.6,12.18,37,15.95,14.23,2.88,62.09,57.18,75.41,64.48,59.22,65.69,5720,4.81,3274,36.01,44.26,55.62,61.91,0.71,0.88,1.1,1.23,96.24,0.48,3.15,1.86,2.2,2.4,2.01,54.26,2.29,59.26,2,6480,91.52,49.86,7.04,33.72,1960,6.38,0.28,35900,49800,69600,33700,187,261,343,156,332,26.5,20.4,13.6,354,130,1.98,69.57,47.86,77.77,87.92,2063.3,1.93,10.26,94556.8,14,8.14,102,59.32,596,346.59,2200,1279.37,2817,1638.17,6027,3504.88,1609,935.68,173,100.6,1693.42,6179.34,302,175.62,281,163.41,253782,147582,840.3,175.6,87.37,95.36,4.64,0,0,4.64,31,8,41.3,80,328,16259984,93.05,0
"79","Tucsoncity","AZ",NA,NA,1,405390,2.49,4.28,75.25,2.2,29.25,15.91,31.47,16.94,11.34,405312,99.98,21748,76.14,0.59,36.28,25.85,6.58,16.38,27208,11184,12560,9268,6689,7745,6272,7160,79287,20.16,9.36,21.39,20.71,8.12,58.52,9.49,28.85,10.35,26.28,11.94,36.79,16.19,14.15,3.1,65.86,61.93,74.97,68.55,61.52,68.39,12404,4.29,43397,18.97,28.48,35.61,44.27,2.03,3.05,3.81,4.74,72.89,4.14,6.32,3.82,2.42,2.59,2.24,55.14,7.3,62.99,2,20653,88.74,51.44,2.07,22.06,1971,6.88,0.38,52200,66800,85600,33400,260,327,406,146,377,29.6,21.7,12.5,437,102,10.71,34.8,41.54,73.61,79.3,2503.8,4.29,4.03,102735.7,44,9.78,314,69.78,894,198.68,3111,691.36,7363,1636.29,32076,7128.3,5143,1142.94,162,36,969.6,9943.53,745,165.56,685,152.23,516410,114762.6,693.2,165.6,99.01,75.57,3.09,20,0.67,23.76,30,9,117.3,161.9,497,46229100,91.95,5
"91","Portlandcity","OR",NA,NA,1,437319,2.34,7.67,84.64,5.3,3.17,11.86,25.57,12.29,12.83,437398,100,25592,75.66,0.75,43.45,26.59,6.9,15.46,32424,14478,15527,8075,8653,9400,8390,8147,62058,14.53,5.62,17.1,25.95,6.16,62.61,15.11,26.06,14.43,29.23,14.55,35.03,17.45,16.07,2.96,66.43,63.51,76.28,67.2,61.73,70.4,11790,3.97,33601,22.36,29.91,38.56,50.21,1.72,2.3,2.96,3.86,90.01,2.17,5,2.88,2.27,2.47,2.05,57.6,3.49,56.17,2,11100,94.4,52.98,5.5,30.54,1947,4.47,0.64,44500,59200,83300,38800,269,340,418,149,397,25.8,20.2,14.3,1553,149,7.68,47.82,46,76.24,85.35,3386.2,11.41,4.81,127691.9,58,12.65,479,104.44,2305,502.59,5603,1221.7,7845,1710.56,27016,5890.68,8459,1844.43,604,131.7,1841.38,9577.37,769,167.68,684,149.14,325000,70864.3,422.6,167.7,91.4,92.46,3.12,1.95,1.69,6.76,37,9,130,129.1,345,58562444,88.95,5
"93","Torrancecity","CA",NA,NA,1,133107,2.53,1.45,72.98,21.86,10.07,11.6,25.37,11.61,10.78,133107,100,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,23111,23117,21263,19955,13172,14736,6791,5.15,3.85,12.38,31.23,3.95,67.04,25.49,18.92,6.72,37.65,9.77,32.32,13.42,11.64,3.04,79.26,77.43,92.28,78.84,57.54,66.06,1217,1.37,29516,22.23,32.19,43.13,51.23,4.93,7.14,9.56,11.36,72.79,5.83,4.13,2.82,2.51,2.7,2.27,60.49,6.41,52.31,2,2312,95.79,56.29,1.56,16.65,1961,1.2,0.27,272900,340000,420200,147300,610,740,935,325,795,26.9,23.1,11.2,0,18,22.17,41.72,49.81,82.48,85.95,6260.9,1.53,4.12,168449.5,12,8.64,30,21.6,430,309.54,390,280.75,1582,1138.83,4096,2948.59,1704,1226.66,54,38.87,620.53,5352.95,194,139.65,187,134.62,64800,46647.6,334,139.7,82.16,90.21,1.55,5.67,2.06,9.28,8,8,292.5,21.3,100,23400000,96.39,10
"100","NewHaventown","CT",9,52070,1,130474,2.66,36.14,53.85,2.41,13.22,17.06,34.55,19.17,10.81,130474,100,25811,73.04,0.47,37.07,26.28,14.61,12.75,31163,12968,16127,9616,7750,11739,7014,7420,25481,21.29,11.86,28.97,26.7,9.25,56.71,16.41,37.38,14.02,30,10.37,50.43,14.2,12.44,3.16,45.44,38.63,53.9,44.87,50.49,60.14,12972,15.07,10633,23.59,31.16,38.39,46.52,1.92,2.54,3.13,3.79,79.35,3.93,7.07,4.13,2.41,2.65,2.3,34.96,4.9,67.53,2,5071,90.62,31.78,10.18,32.97,1943,7.53,0.49,110400,145000,189200,78800,332,487,594,262,568,30,23.5,14.9,1344,16,8.15,53.51,45.53,77.29,81.55,6679.9,9.54,3.08,149991.2,22,18.39,130,108.69,1238,1035.08,1154,964.85,3417,2856.93,7719,6453.8,1873,1566,134,112.04,2127.02,10988.76,390,326.08,350,292.63,145000,121233.4,371.8,326.1,74.62,79.23,17.44,3.33,0,20.77,12,10,167.4,19.5,100,17939552,89.74,5
"114","Tallahasseecity","FL",NA,NA,1,124773,2.47,29.09,68.24,1.75,3,23.68,42.67,28.84,7.94,124773,100,23453,85.3,0.67,38.24,17.18,4.59,11.89,34764,13247,15763,7676,11546,10151,8050,9096,25518,22.32,5.59,14.48,40.72,5.56,63.45,3.6,33.42,6.23,37.49,9.32,48.87,13.45,11.51,2.93,61.16,57.44,70.74,62.15,72.28,78.45,5233,7.88,5615,24.42,32.56,43.94,52.06,1.1,1.47,1.98,2.34,92.68,0.85,3.55,1.92,2.26,2.48,2.08,49.61,4.27,58.18,2,4779,91.35,45.17,2.24,16.91,1974,3.43,0.27,52100,72400,99000,46900,265,353,449,184,444,31.2,19.4,12.8,148,30,4.5,48.67,34.91,58.18,81.03,1903.4,2.82,6.6,133378.2,9,6.63,137,100.91,790,581.91,1754,1292,3970,2924.3,10701,7882.35,2065,1521.08,30,22.1,1981.45,12349.83,288,212.14,275,202.56,280695,206759.8,974.6,212.1,87.98,71.97,18.15,1.59,0,19.75,19,7,109.8,65.6,218,18107294,95.49,5
"123","Springfieldcity","OH",23,74118,1,70487,2.59,17.38,81.61,0.51,0.65,16.05,28.26,15.37,13.59,70487,100,21407,69.94,0.31,30.37,31.35,14.47,20.99,26838,10648,11196,8112,5418,15847,3530,7654,13999,20.87,9.79,31.67,10.88,8.74,53.25,23.26,27.3,21.54,21.14,12.56,30.85,15.9,14.39,3.06,62.98,58.23,65.59,60.85,59.71,65.42,2855,5,765,15.42,20,22.48,26.93,0.17,0.22,0.24,0.29,97.1,0.28,4.94,3.37,2.47,2.53,2.41,56.97,2.14,51.98,2,2315,92.17,55.8,8.42,46.39,1946,8.94,0.58,31300,42000,58600,27300,180,247,316,136,351,27.6,17.1,13.1,2,8,1.09,78.59,50.9,84.72,91.94,3485.1,1.06,5.94,79967.1,6,8.49,59,83.45,208,294.21,786,1111.77,963,1362.13,4048,5725.76,457,646.41,6,8.49,1497.92,7742.79,101,142.86,94,132.96,108785,153872.8,1077.1,142.9,86.22,94.06,3.96,1.98,0,5.94,6,9,52.8,20.2,45,5653511,93.07,0
"128","LosAngelescity","CA",NA,NA,1,3485398,2.86,13.99,52.83,9.81,39.92,14.46,31.22,15.72,8.96,3485398,100,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,22191,11257,12901,13875,6354,7111,643809,18.86,18.4,33,22.96,8.34,61.71,18.43,21.42,15.86,27.29,9.92,43.23,14.61,12.26,3.48,65.54,59.78,74.48,69.13,54.81,60.83,212238,9.32,1336665,20.75,32.13,43.01,56.44,7.96,12.32,16.49,21.64,50.09,17.45,14.44,9.19,2.8,2.87,2.76,40.31,22.26,72.02,2,82558,93.65,39.42,2.93,21.03,1959,4.11,0.98,164100,244500,388400,224300,413,544,709,296,600,30.4,25.3,11.9,4597,3109,38.35,35.47,46.34,81.86,85,7168.1,10.92,4.89,140802.3,1076,31.04,1773,51.15,38415,1108.27,42437,1224.31,50232,1449.19,119092,3435.8,59764,1724.19,5119,147.68,2414.77,6756.86,8295,239.31,7683,221.65,5480855,158122.41,660.7,239.3,90.02,62.51,13.38,20.99,2.82,37.19,406,13,80.1,486.2,2482,488050464,92.62,5
"141","Spokanecity","WA",NA,NA,1,177196,2.36,1.93,93.28,2.08,2.08,13.38,26.71,13.31,14.25,177196,100,22192,70.42,0.72,40.84,30.25,10.99,18.11,28778,12375,12735,8439,5783,7316,8069,7668,29863,17.34,5.74,16.79,21.03,8.12,55.06,10.77,28.88,12.42,26.95,13.7,30.89,17.67,15.82,2.94,63.8,62.52,72.11,67.01,57.16,65.71,4071,3,6997,14.09,20.14,25.44,29,0.56,0.8,1,1.15,94.7,0.85,4.16,2.52,2.29,2.46,2.06,61.6,2.52,53.68,2,4728,94.08,57.23,5.54,35.03,1952,4.96,0.8,38700,51100,70600,31900,208,278,347,139,344,28.2,19.3,12.6,259,56,3.95,52.41,46.37,79.52,86.38,3058.9,4.41,6.67,88952.5,13,6.63,112,57.16,354,180.65,1079,550.63,2699,1377.35,10965,5595.64,730,372.53,74,37.76,795.08,7383.29,240,122.48,218,111.25,137000,69913.7,570.8,122.5,96.88,95,2.5,1.25,0.42,4.17,16,9,136.1,57.9,80,17430772,90.83,10
"146","AnnArborcity","MI",161,3000,1,109592,2.63,9.04,81.98,7.69,2.58,23.19,43.75,28.97,6.29,109592,100,33344,86.61,0.81,60.29,14.36,3.2,10.07,50192,17786,19119,11835,10166,11657,8468,11531,15624,16.08,2.22,6.08,64.22,3.81,64.65,10.56,53.07,4.53,47.65,5.81,54.22,10.29,8.09,2.94,75.87,75.13,89.53,71.98,63.75,72.82,1258,2.58,11945,31.78,41.96,51.47,56.84,3.46,4.57,5.61,6.2,86.5,1.41,3.19,2.59,2.32,2.59,2.13,48.08,3.19,57.98,2,2353,94.65,43.2,1.1,27.33,1963,1.05,0.15,86200,116400,161700,75500,426,529,657,231,568,30,20.4,12.9,195,4,10.9,51.16,32.91,55.4,75.63,4085,5.7,5.88,99064.2,2,1.83,NA,NA,129,117.89,336,307.06,1101,1006.18,4032,3684.75,260,237.61,35,31.99,NA,4960.52,170,155.36,149,136.17,58438,53405.1,343.8,155.4,92.57,89.41,7.65,1.76,1.18,10.59,10,10,158.8,26.8,39,10840000,87.65,0
"151","UnionCitycity","NJ",17,74630,1,58012,2.81,5.11,74.68,2.09,75.62,13.67,29.54,14.16,9.09,58012,100,25655,78.71,0.44,24.77,20.77,13.18,9.8,27288,11089,11488,10870,15755,13355,9197,9996,10513,18.18,28.42,49.46,10.71,10.87,60.52,29.24,13.43,32.79,14.66,11.58,37.55,17.32,14.53,3.29,59.81,56.12,66.57,61.43,53.42,60.06,3156,8.03,31959,14.61,24.34,33.53,47.62,8.05,13.41,18.47,26.24,17.73,30.91,8.4,6.05,2.8,2.84,2.79,22.08,16.96,78.25,2,1980,91.24,21.76,2.37,36.21,1940,11.73,1.74,108200,150400,189700,81500,339,451,579,240,505,27.5,28.5,13,189,25,55.09,25.9,54.33,79.63,81.87,44229.9,27.8,4.97,228726.5,1,1.77,23,40.64,287,507.07,182,321.55,900,1590.11,1171,2068.9,538,950.53,7,12.37,871.02,4621.91,161,284.45,142,250.88,62373,110199.6,387.4,284.5,98.28,76.4,1.86,21.74,0,22.36,8,6,45,1.3,50,12945918,88.2,0
